Old URL,Actual New URL
https://aws.github.io/aws-eks-best-practices/scalability/docs/kcp_monitoring.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/control-plane.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/data-plane/,https://docs.aws.amazon.com/eks/latest/best-practices/scale-data-plane.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/workloads/,https://docs.aws.amazon.com/eks/latest/best-practices/scale-workloads.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/data-plane.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/scaling_theory.ko/,
https://aws.github.io/aws-eks-best-practices/reliability/docs/application/,https://docs.aws.amazon.com/eks/latest/best-practices/application.html
https://aws.github.io/aws-eks-best-practices/reliability/docs/index.ko/,
https://aws.github.io/aws-eks-best-practices/reliability/docs/application.ko/,
https://aws.github.io/aws-eks-best-practices/reliability/docs/,https://docs.aws.amazon.com/eks/latest/best-practices/reliability.html
https://aws.github.io/aws-eks-best-practices/reliability/docs/dataplane/,https://docs.aws.amazon.com/eks/latest/best-practices/data-plane.html
https://aws.github.io/aws-eks-best-practices/reliability/docs/controlplane.ko/,
https://aws.github.io/aws-eks-best-practices/reliability/docs/controlplane/,https://docs.aws.amazon.com/eks/latest/best-practices/control-plane.html
https://aws.github.io/aws-eks-best-practices/reliability/docs/dataplane.ko/,
https://aws.github.io/aws-eks-best-practices/upgrades/index.ko/,
https://aws.github.io/aws-eks-best-practices/upgrades/,https://docs.aws.amazon.com/eks/latest/best-practices/cluster-upgrades.html
https://aws.github.io/aws-eks-best-practices/windows/docs/images/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-images.html
https://aws.github.io/aws-eks-best-practices/windows/docs/storage/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-storage.html
https://aws.github.io/aws-eks-best-practices/windows/docs/scheduling/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-scheduling.html
https://aws.github.io/aws-eks-best-practices/windows/docs/networking.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/licensing/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-licensing.html
https://aws.github.io/aws-eks-best-practices/windows/docs/oom/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-oom.html
https://aws.github.io/aws-eks-best-practices/windows/docs/gmsa/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-gmsa.html
https://aws.github.io/aws-eks-best-practices/windows/docs/networking/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-networking.html
https://aws.github.io/aws-eks-best-practices/windows/docs/security.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/storage.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/hardening/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-hardening.html
https://aws.github.io/aws-eks-best-practices/windows/docs/logging.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/ami.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/licensing.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/images.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/scheduling.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/logging/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-logging.html
https://aws.github.io/aws-eks-best-practices/windows/docs/patching/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-patching.html
https://aws.github.io/aws-eks-best-practices/windows/docs/gmsa.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/monitoring/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-monitoring.html
https://aws.github.io/aws-eks-best-practices/windows/docs/hardening.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/patching.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/oom.ko/,
https://aws.github.io/aws-eks-best-practices/windows/docs/security/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-security.html
https://aws.github.io/aws-eks-best-practices/windows/docs/ami/,https://docs.aws.amazon.com/eks/latest/best-practices/windows-ami.html
https://aws.github.io/aws-eks-best-practices/windows/docs/monitoring.ko/,
